epoch,distortion_loss,accuracy
0,0.0524381585419178,0.7524
1,0.05128100514411926,0.7784
2,0.04989749193191528,0.7893
3,0.049864158034324646,0.8019
4,0.049151744693517685,0.8308
5,0.049247220158576965,0.8434
6,0.04890904575586319,0.8468
7,0.04874534532427788,0.8639
8,0.0485265888273716,0.8824
9,0.048924557864665985,0.8732
10,0.048225969076156616,0.8838
11,0.048602186143398285,0.8843
12,0.04833562299609184,0.8991
13,0.04801280051469803,0.8979
14,0.04815949499607086,0.8914
15,0.05021623522043228,0.8987
16,0.04803447425365448,0.9051
17,0.048018939793109894,0.8951
18,0.047863081097602844,0.9103
19,0.04813763499259949,0.9056
20,0.04755055904388428,0.9244
21,0.04732304811477661,0.9275
22,0.047269467264413834,0.9307
23,0.04746376350522041,0.9212
24,0.047148238867521286,0.9323
